label;claude_sent;gpt_sent;gpt_sent_2;lyrics
lush;;;Positive Sentiments;"I've been away from you for so long
Still every time I think of us, I get blue
But all I can do is dream you
I close my eyes
And love so warm and tender
I feel you touching me
I close my eyes
I don't even have to try, it comes so easily
And I don't know why
I ever let us drift apart
But look who's sorry now
'Cause every time I wake up
And you're not around it only brings me down
Baby, all I can do is dream you
All I can do is dream you
All I can do is dream you
All I can do is dream you
Here I go dreaming you
Everyday I pray
That somewhere down the line
We will meet again
I'll find a way to get you back somehow
But baby, until then
All I can do is dream you
All I can do is dream you
All I can do is dream you
All I can do is dream you
All I can do is dream you
All I can do is dream you
All I can do is dream you
All I can do is dream you"
bittersweet;Pensive/Emotional;;Complex and Mysterious;"I never felt so safe
A line I once told her
Warm, resting place
Her arms on my shoulder
You are the rock
You are the rake
You are the one when I watch myself
You are the rock
You are the rake
You are the one when I watch myself
We ran into a cave
When the wars came closer
She turned into a cave
Where it turned colder
You are the rock
You are the rake
You are the one when I watch myself
You are the rock
You are the rake
You are the one when I watch myself
You are the rock
You are the rake
You are the one when I watch myself
You are the rock
You are the rake
You are the one when I watch myself"
stylish;Quirky/Unconventional;;Positive Sentiments;"They say that you're drowning
You're losing your touch
Have you thrown yourself into the crunch?
They say you're a product with nothing to sell
You can fool your fans but you can't fool yourself
Oh, they're gonna love you when you're lost
You've prayed and you've sinned
It's the last road taken
They're gonna love you when you've died
It's the last wave goodbye
Straight outta Kansas
To the city of fame
Don't let those blinding lights start blinding your game
You say that you're loaded, a thousand degrees
Does it feel cold now that you're down on your knees?
Oh, they're gonna love you when you've lost
You've prayed and you've sinned
It's the last road taken
They're gonna love you when you've died
It's the last wave goodbye
Can you honestly say you felt better yesterday?
You are the champion they cry
Are you drowning inside?
Inside, inside
Oh lonely boy, I know you cry
But there's no people here to sympathize
They say that you're loaded
Oh, you say that you're loaded
Oh, they're gonna love you when you've lost
You've prayed and you've sinned
It's the last road taken
They're gonna love you when you've died
It's the last wave goodbye
Are you drowning inside?
Inside
Inside (drowning)
Inside (drowning)"
powerful;HighEnergy/Intensity;;Complex and Mysterious;"
Farewell, goodbye
God knows we tried
Our union so unsure
Could never endure

So we turn the page
And say goodbye and walk away
From everything
That we worked so hard to save

Brought down by our storm
Our return is no more
But we were so lost in love
That we never found resolve

So we turn the page
And say goodbye and walk away
From everything
That we worked so hard to save
I don't want to start all over
And try and find another shoulder
To lean on
'Cause yours makes me feel safe

And now you're moving on
You're such a blessing and please stay strong
For what it's worth, I'm wishing you the best

So we turn the page
And say goodbye and walk away
From everything
That we worked so hard to save
I don't want to start all over
And try and find another shoulder
To lean on
'Cause yours makes me feel safe
So we turn the page
And say goodbye and walk away
From everything
That we worked so hard to save
I don't want to start all over
And try and find another shoulder
To lean on
'Cause yours makes me feel safe
Yours makes me feel safe
'Cause yours make me feel safe
I'm wishing you the best"
angry;;Negative Emotions;Negative Sentiments;"
The doctor released me, a case of underjoyed
No lack of nutrition, something I can't avoid
No mental condition, maybe I'm paranoid
Or maybe

Maybe I'm just bored
I'm just damn bored
I'm just damn bored
I'm just damn bored

An old friend convinced me that he was underjoyed
He never caused friction, his ego, he destroyed
He made a decision, he jumped into the void
Or maybe

Maybe he's just bored
He's just damn bored
He's just damn bored
He's just damn

Drown your fears in alcohol, everybody spills and falls
Choke on every dream you ever had
Drown yourself in alcohol, everybody slips and falls
Choke on every dream you ever had
Keep yourself in six degrees, no one ever comforts me
Why should they bother when I'm alone?

And I'm so damn bored
I am so bored
I am so bored
I am so, no, no, no, no!

Bored!
I am so bored!
I am so bored!
I'm so damn, that keeps me under the joyed"
dark;Dark/Negative;;Complex and Mysterious;"Learning lines in the rain
Special effects by Loonatik and Drinks
The graveyard scene
The golden years
(She's in parties)
It's in the can
(She's in parties)
It's in the can
Freeze frame screen kiss
Hot heads under silent wigs
Fall guys tumble on the cutting room floor
Look-a-likes fall on the cutting room door
(She's in parties)
It's in the can
(She's in parties)
It's in the can
Learning lines in the rain
Special effects by Loonatik and Drinks
Freeze frame, screen kiss, hot headlights, her powder
Is patently obvious
(She's in parties)
It's in the can
(She's in parties)
It's in the can
Hot lines under a rain of drums
Cigarette props in action
Dialogue dub, now here's the rub
She's acting her reaction
(She's in parties)
It's in the can
(She's in parties)
It's in the can
Learning lines in the rain
Special effects by Loonatik and Drinks
Freeze frame, screen kiss, hot headlights, her powder
Is patently obvious

(She's in parties)
It's in the can
(She's in parties)
It's in the can
(She's in parties)
(She's in parties)"
humorous;Positive/Uplifting;Humor and Playfulness;Positive Sentiments;"I want everyone to like me
I want everyone to like me real bad
I want everyone to approve of me
Because when they disapprove of me, it makes me feel so sad
I wanna earn the respect of my peers
If it takes a hundred years
I'd like to find out where they are by the way
I would run to embrace them
I'm only kiddin
I'm really very modest once you get to know me
A house and a little land
Little someone to lend a hand
Little money set aside
God, then I would be satisfied
Want someone to tell me, one time: ""Honey you don't look well
Why doncha lie down for a couple years. I'll look after things.""
A grown up woman would be nice
I'd like to flip over once or twice
Find out what makes her tick
Some friends to call my own, God knows
A family and a home
A couple kiddies at my side
Keep me fat, and satisfied
I want everyone to like me
That's one thing I know for sure
I want everyone to like me
'Cause I'm a little insecure"
scary;Dark/Negative;Negative Emotions;Negative Sentiments;"
You say I'm a loca
Because I am your girl
You say I am stupid
Because I am your girl

You leave me out on the steps
You dress me up like a boy
You say that I am your secret love
You say to be quiet but I want to tell the whole world

I like my neighborhood
I like my gun
Drive in my little car
I am your girl and I will protect you
I like my neighborhood
I like my gun
Drive in my little car
I am your girl and I will protect you

We do it in the back of our little car
Pull up my pants and fix my bra
Go on home, go home to your kids
I'm not going to be quiet and I'm going to tell the whole block

I like my neighborhood
I like my gun
Drive in my little car
I am your girl and I will protect you
I like my neighborhood
I like my gun
Drive in my little car
I am your girl and I will protect you
I like my neighborhood
I like my gun
Drive in my little car
I am your girl and I will protect you"
smooth;;;Energetic and Exciting;"
When you’re dreaming with a broken heart
The waking up is the hardest part
You roll out of bed and down on your knees
And for a moment, you can hardly breathe
Wondering, “Was she really here?
Is she standing in my room?”
No she’s not
‘Cause she’s gone, gone, gone, gone, gone

When you’re dreaming with a broken heart
The giving up is the hardest part
She takes you in, with her crying eyes
Then, all at once, you have to say goodbye
Wondering, “could you stay my love?
Will you wake up by my side?”
No she can’t
‘Cause she’s gone, gone, gone, gone, gone

Now, do I have to fall asleep with roses in my hand?
Do I have to fall asleep with roses in my hand?
Now, do I have to fall asleep with roses in my hand?
Do I have to fall asleep with roses in my, roses in my hands?
And would you get them if I did?
No you won’t
‘Cause you’re gone, gone, gone, gone, gone

When you’re dreaming with a broken heart
The waking up is the hardest part"
eccentric;Quirky/Unconventional;;Energetic and Exciting;"From now on
Dreams will be
Sounds were heard
Across the ravine
A maker corrects
Mistakes overwhelm
Animals
Masquerade as thought
Bolts together a cosmic
Crusted clarity /
At bed time
Ugly noise
Falls across thighs
Wring tighten
Disparities red
ROSE contrast
Pilot controls
Four five machines
Beside me as such
Evil looks upon
The earth
Quakes"
mysterious;Quirky/Unconventional;;Complex and Mysterious;"
The dreams we had are over now
They're all reality
She cannot hurt us anymore
There’s no more disbelief

“You're a peculiar one”, they used to say
“You are delusional”

We overcame the conqueror
The psyche and the sense
To enter ataraxia
The sacred wonderland

If there's a funeral I’ll be on my way
I'll come to stay

Welcome to Eternity
The one promised land, and no one is there
Welcome to Utopia
A heavenly kingdom outside of our minds
Welcome to Eternity
Where everyone's mindless to the bones
Welcome to Utopia
A garret of playthings outside of our minds
Welcome to Eternity
Where no one's perplexed just over the edge
Welcome to Utopia
A haven for loonies… like me"
sensual;;;Energetic and Exciting;"You go
When the weight of the water
Has finally carried you home
We know
How the current can feel
Like the breathing of watery ghosts
Followed my friends to the splashing side
We were drowing and laughing along with the tide
It sucked me down but I let it slide
Back up to the child inside
'How's my baby' he asked of me
As we were pushing our way out to the sea
But I said 'nothing more' and 'not more' said he
And the ghost drove on so forcefully
You go
When the weight of the water
Has finally carried you home
We know
How the current can feel
Like the breathing of watery ghosts
How long do I
Coming the rocks I'm lost inside
Now we push along behind
The beast with the liquid hide
How long do I
Coming the rocks I'm lost inside
Now we push along behind
The beast with the liquid hide"
peaceful;;Calm and Peaceful;Calm and Peaceful;"
All's quiet, except for this song
So maybe while I'm not together I can feel like I'm not alone
And somewhere off in the distance, rapidly advancing, is an onslaught of sorts
Young sirens wail in a skewed sense of glory
And the lions in the cages roar at the memory of fight

And there's a joy, a joy in all I can see
A joy, in every possibility

And all around us is a great, great failing
American rockets red-glare in a most
Disgusting triumph
And in passing I am asked, ""Do you believe in a God?""
I shrug off the answer, continue to get high
In this terror of no explanation
I am looking for a faith
My panic is an only reason

There's a joy, a joy in all I can see
A joy, in every possibility"
sad;Pensive/Emotional;Negative Emotions;Negative Sentiments;"Look on down from the bridge
There's still fountains down there
Look on down from the bridge
It's still raining, up here
Everybody seems so far away from me
Everybody just wants to be free
Look away from the sky
It's no different when you're leaving home
I can't be the same thing to you now
I'm just gone, just gone
How could I say goodbye?
How could I say goodbye?
Goodbye
Maybe I'll just place my hands over you
And close my eyes real tight
There's a light in your eyes
And you know, yeah, you know
Look on down from the bridge
I'm still waiting for you"
introspective;Pensive/Emotional;Calm and Peaceful;Complex and Mysterious;"Say begin say earthen template
Say the temporary approbation has faded
So return to the site for
Piqued beauty truth mirrored
Say no, lovers love passion stench
And false consternation lovers
Loathe normalcy time and absolute power"
dreamy;;Calm and Peaceful;Positive Sentiments;"
In the nighttime we are found
Misty sorrow swoop unbound
Whisper you mean it, say you'll stay
Hold my heart till brighter days

Now I am searching and I'll do it alone
This Queen of Hearts dancing on her throne
But I need sorrow, baby, like sorrow is the drug
So will I ever find that place they call 'Good Love'?

Good love
Past it last night in a dream
Good love
And my heart caught fire

I drove past true love once, in a dream
Like a house that caught fire, it burned and flamed
And the magician disappeared as quickly as he came
And with a sound like white magic caught in a black car's blazing trail

The house set fire to my heart
Like an inferno we shone and raged
I'd swallowed the sun in your form
I woke up and you were crying
I woke up and you were saying

Good love
Past it last night in a dream
Was that 'Good Love'?
Cause my heart caught fire (went up in flames)
Good love
Past it last night in a dream
Was that 'Good Love'?
Cause my heart caught fire (went up in flames)"
wistful;Pensive/Emotional;;Complex and Mysterious;"Betty knows about her man
And anything goes what she can
Pure as the gold he sent her, her heart is an open book
But to fight is to feel her heart get hurt
I never sugared up my shames
Thats that, you know its no mistake
And I always played by the rules that you had set
But you broke them and pushed me away, lest we forget
She is my own Caroline now
She has no heart but she dreams in old fashion ways
And if you want her to find her
Ill help you on your way
I love her from the distance
She always beckons me to play
And if I knew that should stay for a little while
I would see that you get your deserves, dont you dare smile
She is my own Caroline now
She has no heart but she dreams in old fashion ways
And if you want her to find her
Ill help you on your way
I'll help you on your way
Cause I'm a lie, you always said I'd love
To my surprise I'll ever worship your horrifies
The dust in my eyes
Please, dont you dare come burst in here
Cause Bettys not in here
She is my own Caroline now
She has no heart but she dreams in old fashion ways
And if you want her to find her
Ill help you on your way
Ill help you on your way"
romantic;Pensive/Emotional;;Energetic and Exciting;"
How can I just let you walk away?
Just let you leave without a trace
When I stand here taking every breath
With you, ooh-ooh
You're the only one who really knew me at all

How can you just walk away from me?
When all I can do is watch you leave
'Cause we've shared the laughter and the pain
And even shared the tears
You're the only one who really knew me at all

So, take a look at me now
Well, there's just an empty space
And there's nothin' left here to remind me
Just the memory of your face
Well, take a look at me now
Well, there's just an empty space
And you comin' back to me is against the odds
And that's what I've got to face

I wish I could just make you turn around
Turn around and see me cry
There's so much I need to say to you
So many reasons why
You're the only one who really knew me at all

So, take a look at me now
Well, there's just an empty space
And there's nothin' left here to remind me
Just the memory of your face
Now, take a look at me now
'Cause there's just an empty space
But to wait for you is all I can do
And that's what I've got to face

Take a good look at me now
'Cause I'll still be standing here
And you comin' back to me is against all odds
It's the chance I've got to take

Take a look at me now"
relaxed;;Positive Emotions;Positive Sentiments;"You're unknown to me
Your smile your touch
You're a mystery to me
I don't know much
You're not far away
From witnessing day
You're unknown to me
You're unknown to me
Your size those eyes
You're a secret to me
Each look with surprise
I don't know your name
Or words that you say
You're unknown to me
I know that
You know that
Things will never be the same and
I know that
You wouldn't have it any other way
You're unknown to me
Your voice
Each tone
I know where to find
Your love
Your home
I don't know your face
Or small embrace
But you're welcome here with me"
nocturnal;Dark/Negative;;Complex and Mysterious;"One
Two
Three
Five
Eight
Thirteen
Twenty-one
One
Two
Three
Five
Eight
Thirteen
Twenty-one
One
Two
Three
Five
Eight
Thirteen
Twenty-one
Mathematics is the language of nature
Mathematics is the language of nature
Mathematics is the language of nature
Eight
Thirteen
Twenty-one
Mathematics is the language of nature
One
Two
Three
Five
Eight
Thirteen
Twenty-one
One
Two
Three
Five
Eight
Thirteen
Twenty-one
One
Two
Three
Five
Eight
Thirteen
Twenty-one
One
Two
Mathematics is the language of nature
Eight
Thirteen
Twenty-one
One
Two
Mathematics is the language of nature
One, one, one, one
Mathematics is the language of nature
One, one, one, one"
aggressive;HighEnergy/Intensity;Negative Emotions;Negative Sentiments;"Inhuman postures
Testimony, grotesque
Soul-disembodiment
Beyond the jaws of death
Skeleton pa-delirium, flesh in stasis
Necrosis, monolith
Spirit-disrememberance
Displayed in worm-born filth
The king of earth will gather and rot
Like carved meat on tainted ground
Nefarious monuments
Detesters, obsessed
Post-mortem gallery
Vitrifying pillars of death
Grim-dawns, through eternity's gilded halls
Shadowed by black tides of death
Gradually eroding to serpentine tones
Upon fertile lands turned to dust
Beyond the pylons of death and space
Staring from carnal cabinet-tombs
Endlessly gazing towards the apocalypse
Draped in aftermath and bloodlust-ruin
Sadistic necessity
Drove you from existence
Death epitomized
From in hell's embrace
In mute testimony
Condemned in remembrance
Cold absolution
Like predicaments of an insane saint
Far beyond grotesque and grimness
Their ghost-lips will forever gibber
To the sickening gust of future winds
Nefarious monuments
Detesters, obsessed
Post-mortem gallery
Vitrifying pillars of death"
melancholy;Pensive/Emotional;Negative Emotions;Negative Sentiments;"
Like an ancient day and I'm on trial
Let them seize the way, this once was an island
And I could not stay for I believed them
Left for the lights always in season

Impassable night in a crowd of homesick
Fully grown children, you'll leave the lights
Your family may not wait, Sir, keep on breathing
Our parents rue the day, they find us kneeling
Let them think what they may, for they've good reason
Left for the lights always in season"
mellow;Pensive/Emotional;;Calm and Peaceful;"
I took my love, and took it down
I climbed a mountain, I turned around
And I saw my reflection in a snow-covered hill
'Til the landslide brought it down

Oh, mirror in the sky, what is love?
Can the child within my heart rise above?
Can I sail through the changin' ocean tides?
Can I handle the seasons of my life? Oh

Well, I've been afraid of changin' 'cause I
Built my life around you
Time makes you bolder, even children get older
And I'm gettin' older, too


Well, I've been afraid of changin' 'cause I've
Built my life around you
Time makes you bolder, even children get older
And I'm gettin' older, too
I'm gettin' older, too

I took my love and took it down
I climbed a mountain, I turned around
And if you see my reflection in the snow-covered hill
The landslide brought it down
The landslide brought it down
Oh
Oh
Oh"
soft;;Calm and Peaceful;Positive Sentiments;"
Should've stayed, were there signs I ignored?
Can I help you not to hurt anymore?
We saw brilliance when the world was asleep
There are things that we can have, but can't keep

If they say
Who cares if one more light goes out?
In the sky of a million stars
It flickers, flickers
Who cares when someone's time runs out?
If a moment is all we are
Or quicker, quicker
Who cares if one more light goes out?
Well I do

The reminders pull the floor from your feet
In the kitchen, one more chair than you need, oh
And you're angry, and you should be, it's not fair
Just 'cause you can't see it doesn't mean it isn't there

If they say
Who cares if one more light goes out?
In the sky of a million stars
It flickers, flickers
Who cares when someone's time runs out?
If a moment is all we are
Or quicker, quicker
Who cares if one more light goes out?
Well I do

(I do)

Who cares if one more light goes out?
In the sky of a million stars
It flickers, flickers
Who cares when someone's time runs out?
If a moment is all we are
Or quicker, quicker
Who cares if one more light goes out?
Well I do
Well I do"
eccentric;Quirky/Unconventional;;Energetic and Exciting;"Would you go outside
I asked you to leave
I had enough of this ruckus
I wanna sleep
You say you're feeling lonely
I got to agree
I feel it coming slowly
Slowly to me
Here comes, here comes the night train
Making a point in conversations
That i'll never hold
Protect myself from the rumours
That i will never be told
Choking on beauty
I usually don't even see
I'm living life through someone else
Looking at me
Here comes, here comes the night train
Now all the evil thing i done
And all the harm i ever did
Stand right before me
Eyes wide open
Where were they hidden?
I'm gonna rip it up
Bring it down
Send it to hell
Somebody teach me something new
Somebody as guilty as me
Can break this spell
Here comes, here comes the night train
(Make it stop, oh i can't make it stop it's on again)
Get up
Put up
Open your eyes
Let the black blooded vein
Come to your brain
Angels round here don't sing
They have a curse upon me
The shame
The lovers
The tricks
The blessings
The rebound
The future
Is used
It feels like you used it up
I look at you
I pity you
I dream of you
What are you?
Drop a name
Leave it there
Bruise a heart
Leave it there
Pay the entrance
Leave it there
Get some style
Cut your hair
Shouldn't be this
Shouldn't be that
Take the heat
Take a free kick, man
Try to get a grip on these times
Cause the harder that i chase
The harder you're running
You don't have to be
Impatient for something that ain't come"
positive;Positive/Uplifting;Positive Emotions;Positive Sentiments;"
(You hear it, yeah)
(Ready? Yep)

Revolution, we're the solution
We're gonna take it to the overload
Rebel radical retribution
We're here to get what we are owed

I think my head, my head is gonna explode
I think my head is gonna explode, yeah
I think my brain is gonna overload
I think my head is gonna explode, yeah

We're unified in a sonic nation
Leave all the fakers and the lies behind
You want to meet us in a confrontation
Our psychic weapons will destroy your mind

I think my head, my head is gonna explode
I think my head is gonna explode, yeah
I think my brain is gonna overload
I think my head is gonna explode

Now is the time, yeah
To do it right
Take no more lies
Make up your mind, yeah

The witch doctors and the politicians
They rule by fear and try to keep us down
But they can't see that these conditions
Will spark the fury of the underground
I see it on the global transmission
It's almost ready to overload
I see a dark apocalyptic vision
One minute now the world is gonna explode

I think my head, my head is gonna explode
I think my head is gonna explode, yeah
I think my brain is gonna overload
I think my head is gonna explode, yeah
I think my head, my head is gonna explode
I think my head is gonna explode
I think my brain is gonna overload
I think my head is gonna explode
(Revolution, we're the solution)
(Revolution, we're the solution)"
playful;Positive/Uplifting;Positive Emotions;Positive Sentiments;"One, two, three
Bum-ba-da-dum, bum-ba-da-dum, bum-ba-da-dum, bum-ba-da-dum
Bum-ba-da-dum, bum-ba-da-dum, bum-ba-da-dum, Ba-da-da
He's just a kid, he wants a ride
They took his ears, they took his eyes
They said a ride is never free
He couldn't hear, he couldn't see
Well, there are things that have to die
So other things can stay alive
The fire burns, it burns to give
It has to burn alive to live
The elder men spoke low
They took a vote and said no
They turned around real slow
Where did they go, where did they go?
And the question, oh the question
Can the kid keep his eyes
If the fire doesn't die?
They said nooooooooooooo
They said nooooooooooooo
They said, ""You don't know what king we serve, boy""
""Oh, you don't know what things we employ!""
The elder men spoke low
They took a vote and said no
They turned around real slow
Where did they go, where did they go?
Bum-ba-da-dum, bum-ba-da-dum, bum-ba-da-dum, bum-ba-da-dum
Bum-ba-da-dum, bum-ba-da-dum, bum-ba-da-dum, Ba-da-da
And the question, oh the question
Can the kid keep his eyes?
If the fire doesn't die
Can the kid keep his eyes?
Oh the question, oh the question
Can the kid keep his eyes?
If the fire doesn't die
I said, be careful what you wish for
Oh be careful what you wish for
And be careful 'round the fire light
And be careful 'round the bright, bright lights
Cause the fire never dies so the kid lost his eyes
Oh, that's how it goes, baby, that's how it goes, baby
That's how it goes, baby, that's how it goes"
dark;Dark/Negative;;Complex and Mysterious;"
(Keep quiet)

Secrets, share with another girl
Talking all night in a room
All night, everything's slowing down
I wish I was yours

Strangers, nobody knows we love
I catch your eyes in the dark
One look relives the memories
Remember me the way I used to be

I wish I was yours"
sexy;Positive/Uplifting;;Energetic and Exciting;"Diana Mix:
Sam Wise - 10 mins
VINCH - Money Mitch
Noah Carter - Call Me Over
Hot - (Daniel OG, Lancey Foux, Danny Seth, Pearl De Luna)
Sam Wise - Rack Up
Lancey Foux - Starstruck
Bigbabygucci - Crime
Kevin Taylor - Shine
Wave & Boost - Froze
Octavian - Party Here
Yaeji - Drink I’m Sippin On
Niyat Mix:
Can’t wait- esta ft Xavier Omär
In the morning- J. Cole ft Drake
Bouff daddy (Dre skull remix)- J Hus ft Popcaan
Talk 2 U - Brent Faiyaz
Go with it- The Internet ft Vic Mensa
Ben’ ova- WSTRN
Africain- Sexion D’Assaut
Unfinished business- Lotto Boyzz
Dedikerad Teknodub edit
Same girl- Steve Lacy
Every kind of way (Jared Jackson remix)- H.E.R
Heebiejeebies- Aminé ft Kehlani
Get away- The Internet
Chris Mix:
Get you (feat. kali uchis) - Daniel Caesar
Ain't nobody takin my baby - Russ
Holla if ya hear me - Kweku Collins
Worlds to run - busdriver
Phlake - Pregnant
D’Angelo - Lady
Shakka feat. Wretch 32 - Heart don’t lie
Jalen Santoy - Foreplay
Och Nah Nah - Sir ft. Masego
2000 n Somethin - KAIIT
Photosynthesis (feat. jean deaux) - Saba
Ghost - Kweku Collins
Janet - Berhana"
sweet;;Positive Emotions;Positive Sentiments;"I'm coming down the hill
Coming down the hill
I got some good news
I got some good news
I got some good news
I'm coming down the hill
I'm coming down the hill
I got some good news
I got some good news
I got some good news
I'm coming down the hill
I'm coming down the hill
I lost the blues
I lost the blues
I lost the blues for you
For you
For you
For you
I'm coming down the hill
Coming down the hill
I lost the blues
I lost the blues for you
For you
For you"
atmospheric;;;Complex and Mysterious;"
Dressed in bishop's robes
Terrifies me still in bishop's robes
Bastard headmaster

I am not going back
I am not going back
I am not going back

Children taught to kill
To tear themselves to bits on playing fields
Dressed in bishop's robes

I am not going back
I am not going back
I am not going back"
gritty;Dark/Negative;;Complex and Mysterious;"
Hey Joe
Where you goin' with that gun in your hand?
Hey, hey Joe
I wanna know where you goin' with that gun in your hand
I'm goin' downtown and shoot my old lady
'Cause I caught her messin' around with another man
Oh, yes, I did
I'm goin' down and shoot my old lady
I caught her messin' around with another man

Hey Joe
I heard you shot your woman down
Shot her down to the ground
Hey, hey Joe
You caught her messin' around downtown, boy, ow

No, no, no, no, hey

Hey Joe
Tell me, boy, I wanna know
Where you gonna run to, man? Lord have mercy
Hey Joe, Joe
Where you gonna run to now? Lord
I'm going way down south, yeah
I'm going down to Mexico way, oh, yes I am
I'm going way, way down south
Where I can be free, Lord, Lord have mercy
Ain't no hangman, yeah, they gon' put no rope around me
Lord have mercy"
peaceful;;Calm and Peaceful;Calm and Peaceful;"
Delius
Ooh, he's a moody old man
Delius
Song of summer in his hand
Delius
Ooh, he's a moody old man
Delius
In his hand
Delius
In his hand
Delius

""Ta, ta-ta
Hmm
Ta, ta-ta""

Delius
Delius amat
Syphilis, deus
Genius, ooh

Delius
To be sung of a summer
Delius
Night on the water
Delius
Ooh, on the water
Delius

""Ta, ta-ta
In B, Fenby
Ta, ta-ta""

Delius
Delius amat
Syphilis, deus
Genius, ooh

To be sung of a summer
Night on the water
Ooh, on the water
-us
On the water"
sad;Pensive/Emotional;Negative Emotions;Negative Sentiments;"
Taxi driver
Be my shrink for the hour
Leave the meter runnin'
It's rush hour
So take the streets if you wanna
Just outrun the demons, could you?

He said ""Allahu akbar""
I told him, ""Don't curse me""
""Bobo, you need prayer""
I guess it couldn't hurt me
If it brings me to my knees
It's a bad religion
Ooh-ooh-hoo, this unrequited love
To me, it's nothin' but a one-man cult
And cyanide in my styrofoam cup
I can never make him love me
Never make him love me
Love me, love me
Love me, love me (Ooh-ooh-hoo)
Love me, love me (Ooh-ooh-hoo)
Love me, love me (Ooh-ooh-hoo)
Love me, love

Taxi driver
I swear I've got three lives
Balanced on my head like steak knives
I can't tell you the truth about my disguise
I can't trust no one
And you say ""Allahu akbar""
I told him, ""Don't curse me""
""Bobo, you need prayer""
I guess it couldn't hurt me
If it brings me to my knees
It's a bad religion
Ah-ah, oh, unrequited love
To me, it's nothin' but a one-man cult
And cyanide in my styrofoam cup
I can never make him love me
Never make him love me
No, no, ahh

It's a, it's a bad religion
To be in love with someone who could never love you
Oh-oh-oh, only bad, only bad religion
Could have me feeling the way I do"
wistful;Pensive/Emotional;;Complex and Mysterious;"Time is short now
We'll be here
Nowhere left to go
And if you'd miss me when I'm gone
Go when I go
Then maybe we can stay together
Hopes and dreams they won't last long now
We keep it all inside
Answers come when we don't want to hear
Time is short now
Quiet down
Everything is still
If you stay here close to home
Deeper we'll fall
And maybe we can stay together"
sexy;Positive/Uplifting;;Energetic and Exciting;"
My mouth is touching
Your mouth is running
No loving for nothing
Nobody, knock my body out

My mouth is blowing right up
I'm so gone
Incoming, out clubbing
Not loving, slow your body down

How my love gonna show no scar?
How my love going huh, huh?
How my love gonna show no scar?
How my love going huh, huh?
How my love gonna show no scar?
How my love going huh, huh?
How my love gonna show no scar?
How my love going huh, huh?

My mouth is touching
Your mouth is running
No loving for nothing
Nobody, knock my body out

How my love gonna show no scar?
How my love going huh, huh?
How my love gonna show no scar?
How my love going huh, huh?
How my love gonna show no scar?
How my love going huh, huh?
How my love gonna show no scar?
How my love going huh, huh?
How my love gonna show no scar?
How my love going huh, huh?
How my love gonna show no scar?
How my love going huh, huh?
Huh

Going huh, huh, huh
Going huh, huh, huh
Going huh, huh, huh
Going huh, huh, huh
Going huh, huh, huh
Going huh, huh, huh"
soft;;Calm and Peaceful;Positive Sentiments;"
How long have I been in this storm?
So overwhelmed by the ocean's shapeless form
Water's getting harder to tread
With these waves crashing over my head

If I could just see you, everything would be all right
If I'd see you, this darkness would turn to light

And I will walk on water
And you will catch me if I fall
And I will get lost into your eyes
I know everything will be alright
I know everything is alright

I know you didn't bring me out here to drown
So why am I ten feet under and upside down
Barely surviving has become my purpose
Because I'm so used to living underneath the surface

If I could just see you, everything would be all right
If I'd see you, this darkness would turn to light

And I will walk on water
And you will catch me if I fall
And I will get lost into your eyes
I know everything will be alright
I know everything is alright
And I will walk on water
And you will catch me if I fall
And I will get lost into your eyes
I know everything will be alright
I know everything is alright

Everything's alright
Yeah, everything's alright"
powerful;HighEnergy/Intensity;;Complex and Mysterious;"When the music’s loud and there’s nothing to say
You can only watch me move, you can only watch me sway
See how I turn and never walk away
See how I hang around, how I patiently await
You’re so far away, wouldn’t you agree
It’s time to make your move – make your way over to me
Come closer now, if you wanna talk to me
Come tell me now: Do you like what you see?
Come here, sit down
If you wanna get next to me
Won’t you tell me now:
Do you like what you see?
Do you like what you see?
I use your high
And if you can follow my see’s
How take you to a place you’ve never been
If I showed you everything
I’d have you on your knees
So let’s take it slow like a long night sweet dreams
You’re so far away, wouldn’t you agree
It’s time to make your move – make your way over to me
Come closer now, if you wanna talk to me
Come tell me now: Do you like what you see?
Come here, sit down
If you wanna get next to me
Won’t you tell me now?
Do you like what you see?
Do you like what you see?
Here I’m right before your eyes
I think you see something that you like
I hope that now you realize:
I’ve got you hypnotized
All alone in a crowded room
There’s only me and you
Come Baby, come to me soon
Before the music is through
Come closer now, if you wanna talk to me
Come tell me now: Do you like what you see?
Come here, sit down
If you wanna get next to me
Won’t you tell me now:
Do you like what you see?
Do you like what you see?"
spiritual;;;Calm and Peaceful;"
Some bright mornin' when this life is over
I'll fly away
To that home on God's celestial shore
I'll fly away

I'll fly away, oh glory
I'll fly away in the mornin'
When I die, hallelujah by and by
I'll fly away

When the shadows of this life have gone
I'll fly away
Like a bird from these prison walls I'll fly
I'll fly away

I'll (fly away) fly away, oh glory
I'll fly away, in the morning
When I die hallelujah by and by
I'll fly away


Oh, how glad and happy when we meet
I'll fly away
No more cold iron shackles on my feet
I'll fly away

I'll fly away, oh glory
I'll fly away in the mornin'
When I die, hallelujah by and by
I'll fly away


I'll fly away, oh glory
I'll fly away in the mornin'
When I die, hallelujah by and by
I'll fly away

Just a few more weary days and then
I'll fly away
To a land where joys will never end
I'll fly away
I'll (fly away) fly away, oh glory
I'll fly away in the morning
When I die, hallelujah by and by
I'll fly away

I'll fly away"
